"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Prisma", "Docker", "Ignore", "CSS", "TypeScript JSX", "MS SQL", "Markdown", "Terraform", "YAML", "comment", "blank", "total"
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/contactsService.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 25, 139
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/data.ts", "TypeScript", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 318
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/root.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/_index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contacts.$contactId.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 17, 116
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contacts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 13, 125
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contactsExample.$contactId.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 20, 126
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contactsExample.$contactId_.destroy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contactsExample.$contactId_.edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 6, 86
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/contactsExample.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 13, 131
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 18, 97
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/routes/logout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/sessions.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 47
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/package-lock.json", "JSON", 0, 12577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12578
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/vite.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/paulbanfield/workspace/connect-crm/terraform/.terraform.lock.hcl", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 2, 25
"/Users/paulbanfield/workspace/connect-crm/terraform/main.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 10, 14, 131
"/Users/paulbanfield/workspace/connect-crm/terraform/terraform.tfstate", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 1454, 24883, 50, 130, 28, 9, 5, 378, 693, 104, 92, 128, 218, 192, 588, 28952
